id,osmID,X,Y
124,343237618,293590880.6470359,11735400.099455064
125,1526991112,293368682.9371121,11761245.288742745
126,1733371496,293378651.9652431,11741751.045206787
127,1733371494,293378898.799145,11741268.352187024
128,1010402848,293381057.7985195,11737054.036533646
129,1010402858,293385259.0773614,11728860.806476396
130,358082512,293391520.49445426,11716670.233790295
131,1041036831,293392999.5844246,11713859.699153885
132,2978096930,293399667.2888444,11700839.755848847
133,2978103875,293400333.1663472,11699546.770375157
134,1093783780,293401902.8258629,11696502.652266672
135,1093783791,293407647.6138588,11685369.146896243
136,344260914,293409883.788691,11681035.890560145
137,1060453550,293410392.1262099,11680056.6755874
138,1112878455,293419588.1241365,11662287.365754683
139,1112878435,293421263.6607264,11659055.501824113
140,1112878483,293421923.16009223,11657782.833283242
141,1063532722,293427141.7517856,11647724.576564604
